address,unit,beds,baths,rent,sqft,avail,pets,parking,built,renovated,num_units,stories,fitness,outdoor
"146 W 74th St, New York, NY 10023",-1,2,1.5,4995,-1,1,No Pets Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"215 W 70th St, New York, NY 10023",-1,0,1.0,2250,500,1,Dogs and Cats Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"170 West End Ave, New York, NY 10023",-1,0,1.0,2850,-1,1,No Pets Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"170 W 76th St, New York, NY 10023",-1,1,1.0,3800,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"30 W 72nd St, New York, NY 10023",-1,2,2.0,4695,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"140 W 75th St, New York, NY 10023",-1,1,1.0,3000,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"210 W 70th St, New York, NY 10023",-1,1,1.0,4250,-1,1,Dogs and Cats Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"1 Central Park West, New York, NY 10023",-1,3,4.0,18000,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"166 W 75th St, New York, NY 10023",-1,1,1.0,2898,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"308 W 73rd St, New York, NY 10023",-1,1,1.0,3500,-1,1,Dogs and Cats Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"253 W 72nd St, New York, NY 10023",-1,1,1.0,3295,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"282 West End Ave, New York, NY 10023",-1,0,1.0,2295,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"2000 Broadway, New York, NY 10023",-1,2,2.0,6850,-1,1,No Pets Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"47 W 71st St, New York, NY 10023",-1,0,1.0,2300,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"30 W 61st St, New York, NY 10023",-1,3,2.0,16000,-1,1,No Pets Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"55-75 West End Ave, New York, NY 10023",-1,1,1.0,3200,-1,1,Dogs and Cats Allowed,Garage,N/A,N/A,N/A,N/A,Fitness Center,N/A
"124 W 60th St, New York, NY 10023",-1,1,1.0,3599,-1,1,,,N/A,N/A,N/A,N/A,Fitness Center;Pool,N/A
"44 W 75th St, New York, NY 10023",-1,2,1.5,4000,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"42 W 72nd St, New York, NY 10023",-1,0,1.0,2200,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"29 W 65th St, New York, NY 10023",-1,1,1.0,3250,-1,0,Dogs and Cats Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"135 Central Park West, New York, NY 10023",-1,4,4.0,39500,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"107 W 68th St, New York, NY 10023",-1,3,1.0,5250,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"156 W 73rd St, New York, NY 10023",-1,0,1.0,2650,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"252 W 72nd St, New York, NY 10023",-1,4,3.0,13245,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"140 W 69th St, New York, NY 10023",-1,0,1.0,1800,-1,0,,,N/A,N/A,N/A,N/A,N/A,N/A
"111 W 67th St, New York, NY 10023",-1,2,3.0,8800,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"73 W 68th St, New York, NY 10023",-1,1,1.0,2650,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"8 W 76th St, New York, NY 10023",-1,1,2.5,5300,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"54 W 76th St, New York, NY 10023",-1,0,1.0,2350,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"160 W 62nd St, New York, NY 10023",-1,4,3.5,25001,-1,1,Dogs and Cats Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"37 W 72nd St, New York, NY 10023",-1,1,1.0,3700,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"235 West End Ave, New York, NY 10023",-1,2,2.0,4800,-1,0,,,N/A,N/A,N/A,N/A,N/A,N/A
"14 W 76th St, New York, NY 10023",-1,0,1.0,2300,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"251 W 71st St, New York, NY 10023",-1,2,1.0,4450,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"75 West End Ave, New York, NY 10023",-1,2,2.0,4700,-1,1,No Pets Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"60 W 76th St, New York, NY 10023",-1,1,1.0,3369,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
